Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
NYR,Braden Schneider,Will Cuylle,0.71,11,7,Braden Schneider-Will Cuylle,-0.05,21.0,19.0
WPG,Mason Appleton,Nino Niederreiter,0.71,10,12,Mason Appleton-Nino Niederreiter,0.6,36.0,34.0
FLA,Jonah Gadjovich,Sam Bennett,0.71,17,1,Jonah Gadjovich-Sam Bennett,-0.17,41.0,4.0
CBJ,Kevin Labanc,Zachary Aston-Reese,0.7,7,10,Kevin Labanc-Zachary Aston-Reese,,,
BOS,Brandon Carlo,Mason Lohrei,0.7,3,6,Brandon Carlo-Mason Lohrei,-0.17,14.0,13.0
DAL,Brendan Smith,Jamie Benn,0.7,8,3,Brendan Smith-Jamie Benn,,,
CBJ,Adam Fantilli,Dmitri Voronkov,0.7,8,3,Adam Fantilli-Dmitri Voronkov,0.07,27.0,34.0
DAL,Brendan Smith,Matt Duchene,0.7,20,3,Brendan Smith-Matt Duchene,,,
DAL,Nils Lundkvist,Sam Steel,0.7,7,1,Nils Lundkvist-Sam Steel,,,
PHI,Ryan Poehling,Scott Laughton,0.69,7,6,Ryan Poehling-Scott Laughton,-0.13,39.0,28.0
WSH,Alex Ovechkin,Dylan Strome,0.69,20,24,Alex Ovechkin-Dylan Strome,0.41,65.0,67.0
SJS,Barclay Goodrow,Jan Rutta,0.69,2,1,Barclay Goodrow-Jan Rutta,,,
FLA,A.J. Greer,Evan Rodrigues,0.69,5,10,A.J. Greer-Evan Rodrigues,,,
UTA,Barrett Hayton,Dylan Guenther,0.69,14,8,Barrett Hayton-Dylan Guenther,,,
NYI,Anthony Duclair,Brock Nelson,0.69,3,10,Anthony Duclair-Brock Nelson,,,
OTT,Claude Giroux,Drake Batherson,0.69,16,12,Claude Giroux-Drake Batherson,0.08,66.0,64.0
TOR,Auston Matthews,Mitch Marner,0.69,24,11,Auston Matthews-Mitch Marner,0.58,85.0,107.0
