Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
WSH,Aliaksei Protas,Taylor Raddysh,0.74,12,5,Aliaksei Protas-Taylor Raddysh
CGY,Andrei Kuzmenko,Jonathan Huberdeau,0.74,8,7,Andrei Kuzmenko-Jonathan Huberdeau
PHI,Ryan Poehling,Scott Laughton,0.74,5,5,Ryan Poehling-Scott Laughton
VGK,Jack Eichel,Victor Olofsson,0.74,19,3,Jack Eichel-Victor Olofsson
CBJ,Jake Christiansen,Zach Werenski,0.74,4,9,Jake Christiansen-Zach Werenski
DAL,Matt Duchene,Tyler Seguin,0.74,15,9,Matt Duchene-Tyler Seguin
SEA,Jordan Eberle,Yanni Gourde,0.74,9,3,Jordan Eberle-Yanni Gourde
SEA,Adam Larsson,Yanni Gourde,0.74,3,3,Adam Larsson-Yanni Gourde
CGY,Martin Pospisil,Nazem Kadri,0.74,7,5,Martin Pospisil-Nazem Kadri
STL,Jordan Kyrou,Robert Thomas,0.74,11,6,Jordan Kyrou-Robert Thomas
SEA,Brandon Montour,Oliver Bjorkstrand,0.73,5,10,Brandon Montour-Oliver Bjorkstrand
OTT,Brady Tkachuk,Josh Norris,0.73,8,16,Brady Tkachuk-Josh Norris
VGK,Keegan Kolesar,Nicolas Roy,0.73,8,8,Keegan Kolesar-Nicolas Roy
VGK,Cole Schwindt,Nicolas Roy,0.73,8,3,Cole Schwindt-Nicolas Roy
CAR,Sebastian Aho,Shayne Gostisbehere,0.73,9,10,Sebastian Aho-Shayne Gostisbehere
WPG,Neal Pionk,Vladislav Namestnikov,0.73,9,13,Neal Pionk-Vladislav Namestnikov
LAK,Kevin Fiala,Kyle Burroughs,0.73,12,1,Kevin Fiala-Kyle Burroughs
MTL,Emil Heineman,Kaiden Guhle,0.73,3,4,Emil Heineman-Kaiden Guhle
MIN,Jake Middleton,Joel Eriksson Ek,0.73,7,8,Jake Middleton-Joel Eriksson Ek
MIN,Kirill Kaprizov,Mats Zuccarello,0.73,21,11,Kirill Kaprizov-Mats Zuccarello
TBL,Darren Raddysh,Nick Paul,0.73,11,1,Darren Raddysh-Nick Paul
CGY,Jake Bean,Martin Pospisil,0.73,5,3,Jake Bean-Martin Pospisil
UTA,Barrett Hayton,Nick Schmaltz,0.73,11,7,Barrett Hayton-Nick Schmaltz
WSH,Jakob Chychrun,Tom Wilson,0.73,9,4,Jakob Chychrun-Tom Wilson
TOR,Jake McCabe,Oliver Ekman-Larsson,0.72,6,5,Jake McCabe-Oliver Ekman-Larsson
CAR,Jordan Martinook,Seth Jarvis,0.72,4,9,Jordan Martinook-Seth Jarvis
UTA,Barrett Hayton,Dylan Guenther,0.72,10,7,Barrett Hayton-Dylan Guenther
SJS,Alexander Wennberg,Will Smith,0.72,3,7,Alexander Wennberg-Will Smith
NJD,Stefan Noesen,Tomas Tatar,0.72,13,5,Stefan Noesen-Tomas Tatar
PHI,Noah Cates,Travis Konecny,0.71,1,14,Noah Cates-Travis Konecny
PHI,Rasmus Ristolainen,Travis Konecny,0.71,14,2,Rasmus Ristolainen-Travis Konecny
WPG,Adam Lowry,Nino Niederreiter,0.71,11,12,Adam Lowry-Nino Niederreiter
NYR,Reilly Smith,Zac Jones,0.71,8,2,Reilly Smith-Zac Jones
CGY,MacKenzie Weegar,Nazem Kadri,0.71,7,5,MacKenzie Weegar-Nazem Kadri
DAL,Logan Stankoven,Roope Hintz,0.71,8,10,Logan Stankoven-Roope Hintz
OTT,Shane Pinto,Tim Stützle,0.71,3,17,Shane Pinto-Tim Stützle
VGK,Jack Eichel,Shea Theodore,0.71,19,10,Jack Eichel-Shea Theodore
TOR,Bobby McMann,Max Domi,0.71,6,4,Bobby McMann-Max Domi
